@relation tmp
@attribute min0 numeric
@attribute min1 numeric
@attribute min2 numeric
@attribute min3 numeric
@attribute min4 numeric
@attribute min5 numeric
@attribute min6 numeric
@attribute min7 numeric
@attribute min8 numeric
@attribute min9 numeric
@attribute min10 numeric
@attribute min11 numeric
@attribute min12 numeric
@attribute max0 numeric
@attribute max1 numeric
@attribute max2 numeric
@attribute max3 numeric
@attribute max4 numeric
@attribute max5 numeric
@attribute max6 numeric
@attribute max7 numeric
@attribute max8 numeric
@attribute max9 numeric
@attribute max10 numeric
@attribute max11 numeric
@attribute max12 numeric
@attribute mean0 numeric
@attribute mean1 numeric
@attribute mean2 numeric
@attribute mean3 numeric
@attribute mean4 numeric
@attribute mean5 numeric
@attribute mean6 numeric
@attribute mean7 numeric
@attribute mean8 numeric
@attribute mean9 numeric
@attribute mean10 numeric
@attribute mean11 numeric
@attribute mean12 numeric
@attribute var0 numeric
@attribute var1 numeric
@attribute var2 numeric
@attribute var3 numeric
@attribute var4 numeric
@attribute var5 numeric
@attribute var6 numeric
@attribute var7 numeric
@attribute var8 numeric
@attribute var9 numeric
@attribute var10 numeric
@attribute var11 numeric
@attribute var12 numeric
@attribute max_f_auto0 numeric
@attribute max_f_auto1 numeric
@attribute max_f_auto2 numeric
@attribute max_f_auto3 numeric
@attribute max_f_auto4 numeric
@attribute max_f_auto5 numeric
@attribute max_f_auto6 numeric
@attribute max_f_auto7 numeric
@attribute max_f_auto8 numeric
@attribute max_f_auto9 numeric
@attribute max_f_auto10 numeric
@attribute max_f_auto11 numeric
@attribute max_f_auto12 numeric
@attribute max_f0 numeric
@attribute max_f1 numeric
@attribute max_f2 numeric
@attribute max_f3 numeric
@attribute max_f4 numeric
@attribute max_f5 numeric
@attribute max_f6 numeric
@attribute max_f7 numeric
@attribute max_f8 numeric
@attribute max_f9 numeric
@attribute max_f10 numeric
@attribute max_f11 numeric
@attribute max_f12 numeric
@attribute argmax_f0 numeric
@attribute argmax_f1 numeric
@attribute argmax_f2 numeric
@attribute argmax_f3 numeric
@attribute argmax_f4 numeric
@attribute argmax_f5 numeric
@attribute argmax_f6 numeric
@attribute argmax_f7 numeric
@attribute argmax_f8 numeric
@attribute argmax_f9 numeric
@attribute argmax_f10 numeric
@attribute argmax_f11 numeric
@attribute argmax_f12 numeric
@attribute sfm0 numeric
@attribute sfm1 numeric
@attribute sfm2 numeric
@attribute sfm3 numeric
@attribute sfm4 numeric
@attribute sfm5 numeric
@attribute sfm6 numeric
@attribute sfm7 numeric
@attribute sfm8 numeric
@attribute sfm9 numeric
@attribute sfm10 numeric
@attribute sfm11 numeric
@attribute sfm12 numeric
@attribute dec {classical,hiphop,reggae,country,jazz,metal,disco,pop,rock,blues}
@data
-1087.32775879,32.5584526062,-98.5612487793,-16.3912506104,-78.2309341431,-36.4649009705,-77.4919586182,-36.9453887939,-72.1968078613,-23.2706718445,-49.7522125244,-23.0020294189,-39.9581222534,-424.083282471,213.728271484,40.6842041016,81.5812225342,16.7225494385,55.7478408813,12.6964454651,61.2833595276,8.56468582153,43.7221488953,27.7906532288,47.2249679565,37.7232398987,-555.277160645,134.063812256,-26.0626621246,37.8025779724,-27.9559459686,14.9217319489,-26.1553115845,15.1051216125,-28.6809368134,10.6814613342,-14.0855083466,9.62209320068,-7.1328458786,3996.31591797,1056.08325195,407.256622314,238.903869629,220.022369385,238.461303711,185.991165161,269.860473633,156.924865723,101.846008301,111.56565094,124.293701172,123.58379364,0.790956676006,0.622226774693,0.549304306507,0.399744182825,0.438277542591,0.510537087917,0.172120794654,0.301551640034,0.463408470154,0.247345641255,0.503046393394,0.351793736219,0.405558615923,0,2,1,0,2,0,1,1,2,1,0,1,1,44, 5, 7, 7, 0, 0, 0, 0, 0, 8, 0, 1, 0,0.611728489399,0.554034650326,0.631894111633,0.671500325203,0.665702998638,0.675318717957,0.664825558662,0.651602208614,0.711874783039,0.716957092285,0.710793793201,0.704070210457,0.726935088634,rock
-655.805786133,-52.1392288208,-91.1626281738,-20.2046546936,-49.4181480408,-47.8246421814,-50.9756507874,-43.2436447144,-44.5400276184,-35.8337898254,-48.7269515991,-36.5036239624,-37.1961212158,-405.039520264,206.5025177,60.1059799194,94.7944946289,58.1495285034,56.7115211487,54.235824585,42.7491226196,33.726726532,39.8171463013,40.5235061646,43.4210739136,34.2694015503,-490.392181396,119.633506775,-20.454454422,33.2528877258,8.80097389221,7.8931722641,-4.18977832794,2.42905473709,-2.95101547241,2.29580330849,-3.90581727028,2.92943644524,-4.88781404495,1270.65075684,807.762695312,496.622009277,260.822875977,342.936737061,188.783309937,164.509429932,142.323989868,132.886047363,111.984779358,165.664840698,92.1389465332,96.8399429321,0.365252524614,0.153578326106,0.386973202229,0.10570204258,0.337605029345,0.131876289845,0.232651889324,0.158122643828,0.177931129932,0.190738648176,0.208251267672,0.19439907372,0.363955795765,92,11,5,8,8,13,22,22,22,8,8,18,10,435, 430, 9, 5, 7, 200, 208, 5, 546, 0, 4, 0, 0,0.576260447502,0.57639080286,0.623897075653,0.669985473156,0.641080319881,0.693814754486,0.710955917835,0.705058157444,0.726732671261,0.746420621872,0.681261301041,0.739608466625,0.741452813148,rock
-1075.93469238,-35.1558837891,-115.818618774,-46.0797729492,-89.7730407715,-29.9273643494,-72.9638214111,-38.4673843384,-64.8058929443,-37.6486740112,-62.5306434631,-34.9538841248,-43.7102661133,-452.107940674,206.686920166,44.3964729309,119.34980011,22.5429840088,64.0793609619,34.6423950195,47.4836616516,19.6946601868,52.7441101074,36.9455680847,34.0138778687,30.4510765076,-599.159545898,114.36340332,-37.5348739624,34.9057159424,-31.4530830383,16.008026123,-20.7559108734,11.1698074341,-19.1740913391,15.2812261581,-17.5210857391,1.30693173409,-11.338634491,6927.90185547,1257.68200684,585.893005371,480.259429932,326.343597412,263.114105225,250.018600464,190.697433472,172.851135254,176.703186035,118.180084229,95.2152557373,118.282371521,0.55169659853,0.535187363625,0.351725995541,0.355971902609,0.27316698432,0.348271518946,0.296933889389,0.230208978057,0.100902929902,0.243295609951,0.166469395161,0.165099561214,0.338451713324,58,0,6,6,6,58,59,58,7,6,4,10,6,26, 20, 323, 25, 23, 155, 66, 155, 53, 5, 154, 2, 30,0.505698144436,0.565919876099,0.609237790108,0.627174317837,0.644228041172,0.652923583984,0.66355329752,0.68447291851,0.688405513763,0.682906210423,0.717808842659,0.730744659901,0.710951149464,rock
-1023.75872803,30.1034374237,-70.6675338745,-26.2000408173,-43.5096664429,-51.1897926331,-41.5010719299,-25.0533924103,-40.617515564,-39.3758163452,-32.8375740051,-28.5018825531,-31.3225517273,-424.504333496,261.296691895,68.378692627,67.9849014282,46.69323349,37.8194160461,36.0634765625,45.0774230957,31.6365318298,31.5118579865,23.3038024902,30.1283760071,29.859577179,-623.734130859,156.066421509,-1.36208403111,24.5472984314,-0.772586166859,1.46843111515,-5.09555530548,8.37176609039,2.36147856712,-2.73956418037,-4.55914211273,-0.238539949059,-2.49636530876,11698.1679688,3156.27416992,713.373596191,251.94934082,219.697357178,204.106903076,113.717338562,107.365890503,115.456283569,126.093818665,85.760848999,81.0023574829,83.1510467529,0.930807411671,0.901221334934,0.76658642292,0.588941991329,0.600445151329,0.567317008972,0.421110779047,0.426823049784,0.511282622814,0.499457985163,0.311496078968,0.336633116007,0.325492203236,0,0,0,2,0,0,20,0,0,0,0,1,2,7, 5, 5, 2, 0, 0, 0, 0, 0, 0, 1, 4, 2,0.51801943779,0.557967245579,0.640731275082,0.689908981323,0.694397449493,0.684469044209,0.738242089748,0.748799800873,0.750720441341,0.726537406445,0.752746284008,0.753870666027,0.749156951904,rock
-1041.46630859,33.9409980774,-63.9337768555,4.96385574341,-50.4392700195,-32.4134559631,-61.0204620361,-14.028968811,-49.1150054932,-18.0889816284,-43.3738212585,-37.6408348083,-56.0090026855,-489.245239258,218.791259766,50.4058113098,127.542312622,47.4786872864,49.2528839111,31.9390335083,45.5119895935,24.3580436707,49.7841949463,27.3878440857,42.8501358032,20.9249992371,-623.817382812,148.087387085,-17.6397476196,50.9866333008,-7.05555868149,8.99748897552,-21.3517456055,15.9920701981,-18.0388240814,12.8620462418,-9.55632305145,8.50397491455,-13.4195108414,2574.60546875,892.778381348,339.117095947,260.927154541,182.17276001,124.147972107,171.25213623,90.0663604736,113.55317688,116.576499939,84.0798416138,113.151344299,97.8957366943,0.758752286434,0.490723997355,0.251172363758,0.41227093339,0.311670511961,0.191011324525,0.444358944893,0.257465392351,0.312492996454,0.366833716631,0.251641392708,0.474811702967,0.296026200056,0,12,4,4,4,1,0,3,3,0,2,1,1,14, 1, 4, 28, 0, 81, 0, 0, 0, 0, 2, 6, 2,0.597009122372,0.557616472244,0.646827101707,0.659669280052,0.702208340168,0.715536534786,0.700369536877,0.738903224468,0.731320858002,0.733750224113,0.738691687584,0.725633859634,0.734235525131,rock
-1092.98364258,4.67014122009,-95.7200927734,-42.7610282898,-37.1612281799,-30.239484787,-50.5441741943,-25.5364646912,-45.115524292,-34.3228607178,-41.9713783264,-40.6077651978,-43.0067062378,-394.227539062,208.198181152,63.8627624512,76.1412963867,57.0876846313,54.4703674316,40.4322738647,48.9975814819,35.9120559692,50.1339035034,22.7049560547,32.6417579651,19.6408557892,-466.494354248,102.353973389,-12.6457414627,22.823299408,9.69253540039,15.2336416245,-7.88178157806,16.3702259064,-1.17031848431,8.77346515656,-4.53730535507,2.44222354889,-6.70581960678,1706.55578613,857.592895508,414.754394531,201.983535767,196.970626831,173.499313354,171.025283813,108.449623108,108.46685791,108.144218445,75.8275604248,73.583770752,70.3421859741,0.592789173126,0.330261200666,0.129709631205,0.1601100564,0.169170692563,0.196041569114,0.238201647997,0.153813436627,0.184305921197,0.197654545307,0.167899638414,0.141515865922,0.174038797617,135,13,49,10,13,1,8,1,2,6,8,8,12,27, 6, 249, 312, 0, 5, 0, 22, 22, 5, 8, 5, 3,0.705821931362,0.573167324066,0.617102205753,0.687207579613,0.685743689537,0.697091519833,0.707399427891,0.738921225071,0.738281846046,0.745372712612,0.76062643528,0.775842428207,0.77791428566,rock
-949.200500488,37.3934326172,-87.039024353,-22.2943153381,-61.0319595337,-13.5922012329,-54.8453483582,-7.45666122437,-66.323425293,-13.9410667419,-47.432220459,-20.6048583984,-42.0550765991,-415.033966064,173.474395752,24.4777183533,86.7810134888,23.2608566284,58.8905105591,11.3332672119,57.1391792297,14.6215515137,56.3913497925,11.111536026,34.1888923645,14.2828445435,-488.853881836,120.465454102,-36.0532951355,43.8779335022,-19.8384418488,24.3193740845,-20.7423706055,26.2890625,-21.4096488953,15.1451063156,-15.9523839951,7.4713101387,-13.4191417694,633.861083984,368.138275146,302.165405273,207.78666687,147.81098938,117.429801941,109.847084045,101.441230774,125.925430298,93.3478088379,70.4473800659,68.7195892334,62.0685768127,0.341781705618,0.287815064192,0.282485425472,0.421467900276,0.273160874844,0.228361040354,0.172963500023,0.157303094864,0.349563330412,0.2270334512,0.118117041886,0.144141092896,0.129209578037,17,0,0,2,2,0,0,35,0,0,109,2,2,132, 124, 114, 1, 1, 16, 261, 127, 12, 60, 416, 11, 18,0.747702002525,0.671399652958,0.656286299229,0.715133428574,0.73663598299,0.751710951328,0.74715667963,0.765093803406,0.743422865868,0.773733139038,0.789454817772,0.777746260166,0.78506487608,rock
-1077.03405762,-12.7050895691,-76.0314025879,-21.6477050781,-55.1722412109,-29.6057701111,-60.1150970459,-23.5933189392,-54.0512084961,-30.7024078369,-58.5860404968,-35.0948066711,-47.0071563721,-463.48248291,253.481719971,131.508377075,129.339447021,46.9268684387,74.7602920532,36.9905891418,59.2236251831,18.6368522644,53.6064033508,14.4744377136,47.3349761963,16.2068710327,-645.758666992,163.842941284,13.3608169556,51.2131271362,0.619834661484,19.740070343,-14.502655983,20.0170288086,-17.3234615326,5.91099786758,-23.1970920563,1.26094889641,-14.2474107742,3682.7421875,1210.0090332,720.21472168,464.494354248,226.88923645,212.017593384,176.774902344,127.49181366,142.761062622,118.801025391,111.170936584,111.375648499,90.4695053101,0.390789270401,0.272757083178,0.191255226731,0.462065964937,0.322124570608,0.176497831941,0.242988660932,0.125204607844,0.237270519137,0.216369211674,0.125076591969,0.228004395962,0.173845306039,0,1,0,0,1,3,2,28,28,1,6,1,4,5, 161, 612, 0, 0, 0, 3, 91, 0, 0, 334, 1, 0,0.600751459599,0.574939906597,0.570516049862,0.627932548523,0.685523629189,0.666466057301,0.698334634304,0.707621693611,0.704054236412,0.730157077312,0.730880618095,0.73050391674,0.739467144012,rock
-1034.81860352,-50.4997711182,-98.2994384766,-61.1018981934,-49.8658828735,-72.0216522217,-61.4115447998,-53.7502059937,-68.7272491455,-50.7589263916,-43.7543563843,-44.4385185242,-46.8764381409,-437.413543701,273.368377686,147.534576416,100.78150177,60.6170654297,62.8115882874,48.6566696167,44.1425170898,23.6743278503,50.6477127075,39.881603241,40.0352020264,40.9662475586,-674.660949707,149.12727356,9.58440971375,15.7094612122,5.6418671608,-7.28794193268,-2.97175455093,-6.2114648819,-15.5019369125,-0.885612607002,-5.88997268677,-4.65528154373,-6.58386230469,13154.2021484,3051.09204102,1170.2401123,609.191894531,344.729248047,400.240081787,277.151184082,154.174606323,220.77381897,164.630447388,113.172180176,134.202911377,123.815979004,0.688372552395,0.502678394318,0.52476722002,0.442248344421,0.377093613148,0.551500797272,0.490068167448,0.246942952275,0.445100575686,0.386738806963,0.217612415552,0.307640403509,0.23201328516,0,96,11,11,11,0,11,11,0,4,11,11,11,2, 200, 2, 410, 170, 0, 0, 0, 6, 0, 0, 1, 6,0.514945566654,0.515397846699,0.590175807476,0.621829152107,0.659470021725,0.637105584145,0.674753189087,0.717806339264,0.694198548794,0.701300144196,0.726061344147,0.705535650253,0.724335730076,rock
-983.02734375,24.4894561768,-82.691619873,-15.3538322449,-62.6778755188,-29.0659942627,-61.5002708435,-19.6937255859,-61.6999092102,-29.7536354065,-49.6856842041,-23.1228103638,-40.2808074951,-407.482421875,262.920166016,91.3635253906,87.5627822876,46.7101020813,74.1163482666,39.8444595337,63.4905281067,27.4726142883,57.9413452148,25.0309181213,46.5427474976,28.750164032,-643.715087891,177.160736084,10.487739563,39.4673728943,-3.20237994194,31.8881187439,-6.88979148865,19.2775802612,-18.1814422607,10.4543523788,-7.94526958466,9.81648254395,-7.87686634064,7888.16992188,1287.86694336,791.555786133,238.991348267,347.490966797,195.604003906,243.471633911,147.381317139,180.762985229,117.799789429,126.491233826,113.806663513,89.2687149048,0.408325225115,0.403829723597,0.432521879673,0.316917777061,0.34416398406,0.216298058629,0.311446547508,0.153284847736,0.145475655794,0.113993696868,0.244989439845,0.281404823065,0.169651731849,2,23,0,5,23,11,10,37,9,22,23,0,23,5, 196, 190, 0, 192, 187, 0, 181, 519, 444, 87, 88, 5,0.551950633526,0.615828096867,0.571123719215,0.71174788475,0.634102106094,0.679052829742,0.656705141068,0.7087495327,0.690258562565,0.706325531006,0.719594657421,0.722130596638,0.733556032181,rock
